Chegada Partida,Natureza,Data,Empresa,Voo,Aeronave,Horário (Hora Local),Origem Destino,Assentos,Tipo de Serviço,Dia da Semana
Chegada,DOM,09/03/2026,Azul,5020,E95,13:15,CGH,118,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4293,AT7,13:15,MOC,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2893,32N,13:20,BPS,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul Conecta,5182,208,13:30,LHN,9,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,5023,AT7,13:35,BRA,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,6061,295,13:35,CGH,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,2011,73H,13:35,GIG,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4012,32N,13:40,AJU,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,6485,E95,13:50,CGH,118,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4283,32N,13:55,REC,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2562,32N,14:10,NAT,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4331,AT7,14:10,REC,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,5080,AT7,14:10,GVR,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2649,32N,14:15,JPA,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,9577,32N,14:15,CKS,174,Voo Extra,Segunda
Chegada,DOM,09/03/2026,Azul,4002,295,14:25,VIX,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3554,320,14:25,GRU,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,6077,295,14:25,CGH,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1416,73H,14:40,GRU,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2606,295,14:40,BPS,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4117,295,14:50,SDU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2757,32N,14:50,POA,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4246,32N,14:50,FOR,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,2149,73H,14:55,SSA,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4319,32N,14:55,THE,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,9578,32N,14:55,CKS,174,Voo Extra,Segunda
Chegada,DOM,09/03/2026,Azul,5031,295,15:05,GRU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2539,32N,15:05,REC,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2575,32N,15:10,MCZ,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3916,320,15:25,CGH,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4436,295,15:25,GIG,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3555,320,15:25,GRU,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4330,AT7,15:40,REC,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,2051,73H,15:40,BPS,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1337,73H,15:40,GRU,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,2038,73H,15:40,SSA,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4046,295,15:45,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3722,320,15:55,BSB,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,6419,295,15:55,CGH,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4251,AT7,16:00,MOC,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4957,295,16:05,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4180,AT7,16:10,UDI,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4721,295,16:10,BSB,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3041,320,16:10,CGH,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4125,295,16:15,GYN,136,Voo Regular,Segunda
Chegada,INT,09/03/2026,Latam,672,320,16:15,SCL,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1312,73H,16:20,CGH,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4609,295,16:25,IOS,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4317,AT7,16:25,IPN,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul Conecta,5248,208,16:30,TFL,9,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4797,E95,16:30,CGH,118,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4615,AT7,16:35,GVR,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1369,73H,16:35,CGH,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3933,320,16:35,CGH,176,Voo Regular,Segunda
Chegada,INT,09/03/2026,Tap,103,339,16:40,LIS,298,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2740,295,16:50,CWB,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4137,AT7,16:50,SSA,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,6176,AT7,16:55,SJP,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3042,320,17:00,CGH,176,Voo Regular,Segunda
Partida,INT,09/03/2026,Latam,673,320,17:05,SCL,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2962,32N,17:10,SSA,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,6402,E95,17:10,CGH,118,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2947,295,17:10,CWB,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4264,AT7,17:10,UDI,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1371,73H,17:10,CGH,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4799,295,17:15,BSB,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1955,73H,17:20,CKS,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,2052,73H,17:20,GIG,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2910,E95,17:20,VIX,118,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4470,AT7,17:20,MOC,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3556,320,17:25,GRU,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul Conecta,5194,208,17:25,DIQ,9,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2724,295,17:25,GRU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,6174,AT7,17:30,RAO,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul Conecta,5183,208,17:35,LHN,9,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1408,73H,17:35,CGH,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4751,295,17:35,SDU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4227,295,17:40,GYN,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3049,320,17:40,CGH,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2626,295,17:50,BPS,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4462,E95,17:55,CGH,118,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4852,32N,17:55,SSA,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,2059,73H,18:00,GIG,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4419,295,18:10,CGB,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3723,320,18:10,BSB,176,Voo Regular,Segunda
Partida,INT,09/03/2026,Tap,104,339,18:10,LIS,298,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4437,295,18:15,GIG,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2639,295,18:15,VIX,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1705,73H,18:20,BSB,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4318,AT7,18:25,IPN,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul Conecta,5148,208,18:25,RRJ,9,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1405,73H,18:25,CGH,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1324,73H,18:30,GRU,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2974,295,18:35,BPS,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2930,32N,18:40,REC,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2880,295,18:50,GRU,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1346,73H,19:00,CGH,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2627,295,19:05,GIG,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4142,AT7,19:05,IPN,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3790,321,19:10,GRU,220,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1339,73H,19:10,GRU,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,5070,295,19:15,CGH,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2625,32N,19:20,REC,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul Conecta,5195,208,19:25,DIQ,9,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2920,295,19:30,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2811,32N,19:35,BEL,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3590,321,19:45,POA,220,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2856,295,19:50,CGH,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1799,73H,19:50,CGH,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4577,32N,19:55,BEL,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1879,73H,19:55,SSA,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3046,320,19:55,CGH,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2950,E95,20:00,VIX,118,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2763,32N,20:05,POA,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2664,295,20:05,VIX,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4471,AT7,20:10,MOC,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2921,295,20:10,VCP,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3557,321,20:10,GRU,220,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2576,32N,20:20,MCZ,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2935,295,20:25,SDU,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4922,AT7,20:30,UDI,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,9579,32N,20:30,CKS,174,Voo Extra,Segunda
Partida,DOM,09/03/2026,Latam,3591,321,20:30,POA,220,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2645,295,20:35,REC,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4547,295,20:35,GRU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Latam,3045,320,20:35,CGH,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4298,32N,20:40,THE,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1350,73H,20:40,CGH,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4521,295,20:45,BSB,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4787,32N,20:45,BEL,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Gol,1595,73H,20:45,GIG,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4267,32N,20:50,REC,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,6175,AT7,20:50,RAO,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4163,32N,20:55,MAO,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,6210,AT7,20:55,SJP,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2756,295,21:00,VIX,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4312,32N,21:00,FOR,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4455,32N,21:00,CGH,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2951,295,21:05,CWB,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4138,AT7,21:05,IPN,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2908,295,21:05,SDU,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3948,320,21:10,CGH,176,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2643,295,21:15,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4185,295,21:35,GYN,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4082,295,21:35,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2975,295,21:45,BPS,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4212,295,21:45,GRU,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4500,32N,21:45,BEL,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2573,32N,21:50,REC,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3724,320,21:50,BSB,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4061,295,21:50,CWB,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4420,AT7,21:50,MOC,70,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4752,295,21:55,GIG,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4139,AT7,21:55,IPN,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2923,32N,22:00,POA,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4126,295,22:00,BSB,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4472,32N,22:05,SSA,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4598,32N,22:05,RBR,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3126,320,22:10,CGH,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4225,295,22:15,FLN,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1718,73H,22:20,BSB,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,2088,73H,22:20,GIG,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2851,295,22:20,GYN,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2881,295,22:25,GRU,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul Conecta,5149,208,22:35,RRJ,9,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1370,73H,22:35,CGH,186,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,4484,295,22:40,VCP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Azul,2665,295,22:50,VIX,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4376,AT7,22:50,UDI,70,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2760,32N,22:55,FOR,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4438,32N,22:55,BEL,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2735,32N,23:10,SLZ,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4604,32N,23:10,REC,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2878,295,23:20,IMP,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,3092,320,23:25,CGH,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4000,32N,23:25,NAT,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4411,32N,23:25,MAB,174,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4110,295,23:30,GIG,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,2752,295,23:35,SSA,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4412,295,23:35,VIX,136,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Latam,4544,320,23:45,GRU,176,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4256,295,23:50,CGB,136,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4259,32N,23:50,MCZ,174,Voo Regular,Segunda
Chegada,DOM,09/03/2026,Gol,1338,73H,23:55,GRU,186,Voo Regular,Segunda
Partida,DOM,09/03/2026,Azul,4408,295,23:55,PMW,136,Voo Regular,Segunda
Chegada,INT,10/03/2026,Copa,765,73H,00:20,PTY,160,Voo Regular,Terça
Partida,INT,10/03/2026,Copa,734,73H,01:20,PTY,160,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4290,32N,05:00,MCZ,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4439,32N,05:00,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4257,295,05:05,CGB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4409,295,05:05,PMW,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3561,320,05:05,GRU,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2879,295,05:10,IMP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4088,32N,05:10,MAB,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2761,32N,05:15,FOR,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4605,32N,05:20,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4414,32N,05:25,SLZ,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4357,32N,05:30,NAT,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3047,320,05:35,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2801,32N,06:00,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,2089,73H,06:00,GIG,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4188,295,06:05,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3725,320,06:05,BSB,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2474,32N,06:10,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4039,295,06:10,SDU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2728,295,06:15,POA,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1357,73H,06:20,GRU,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3037,320,06:25,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1623,73H,06:30,BSB,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4599,32N,06:35,RBR,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4029,AT7,06:45,IPN,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4377,AT7,06:50,UDI,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2604,295,06:55,BSB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4060,295,06:55,CWB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2957,295,07:00,GYN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4553,295,07:00,SSA,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1311,73H,07:00,CGH,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4421,AT7,07:05,MOC,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4413,295,07:10,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4522,295,07:10,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,2006,73H,07:10,GIG,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3453,321,07:10,POA,220,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2936,295,07:15,SDU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4505,295,07:15,GIG,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2967,295,07:20,FLN,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4030,32N,07:20,CGH,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3052,320,07:20,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,4712,320,07:20,GRU,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2909,32N,07:25,POA,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4043,295,07:30,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1300,73H,07:45,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4096,295,07:45,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2814,295,07:50,GRU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1313,73H,07:55,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3454,321,07:55,POA,220,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2423,32N,08:00,NAT,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4066,32N,08:00,MAO,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3053,320,08:00,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2738,32N,08:05,SSA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2857,295,08:05,CWB,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4051,E95,08:10,SDU,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2759,295,08:10,VIX,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,5089,32N,08:10,REC,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2552,32N,08:15,FOR,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2636,E95,08:15,CGH,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2875,AT7,08:20,GVR,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4223,295,08:20,GYN,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2647,32N,08:25,JPA,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4708,295,08:25,BSB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2948,295,08:30,SDU,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,5033,AT7,08:30,SSA,70,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,2042,73H,08:35,GIG,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4136,AT7,08:35,GNM,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4931,295,08:35,GIG,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2794,32N,08:40,FLN,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3036,320,08:45,CGH,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4114,295,08:45,VDC,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4244,AT7,08:45,UDI,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1317,73H,08:55,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5112,208,09:00,IAL,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4729,32N,09:00,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2658,295,09:05,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul Conecta,5132,208,09:05,POJ,9,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6122,AT7,09:05,UBA,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2925,295,09:15,CGB,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,2008,73H,09:15,GIG,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2475,32N,09:25,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6041,E95,09:25,CGH,118,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3039,320,09:25,CGH,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3552,320,09:30,GRU,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1304,73H,09:35,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4328,295,09:45,VCP,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Latam,3720,320,09:50,BSB,176,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4800,32N,09:55,BEL,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1700,73H,10:00,BSB,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,2892,32N,10:05,BPS,174,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3553,320,10:15,GRU,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1320,73H,10:30,GRU,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1329,73H,10:30,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Latam,3721,320,10:35,BSB,176,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2758,AT7,10:40,GVR,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1834,73H,10:40,SSA,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2672,295,10:55,VIX,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,6427,E95,11:05,CGH,118,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4570,295,11:10,GRU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4045,295,11:15,VCP,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4135,AT7,11:15,IPN,70,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1323,73H,11:15,GRU,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4118,295,11:20,SDU,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,6400,E95,11:20,CGH,118,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,4932,295,11:25,GIG,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2729,295,11:30,POA,136,Voo Regular,Terça
Partida,DOM,10/03/2026,Gol,1954,73H,11:30,CKS,186,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,2802,32N,11:40,REC,174,Voo Regular,Terça
Chegada,DOM,10/03/2026,Gol,1334,73H,11:40,CGH,186,Voo Regular,Terça
Partida,DOM,10/03/2026,Azul,4371,295,11:40,VIX,136,Voo Regular,Terça
Chegada,DOM,10/03/2026,Azul,5068,295,11:45,BSB,136,Voo Regular,Terça
